Week,Name,Pos,Team,Opp,Projected,Actual,Injury?
1,Justin Jefferson,WR,MIN,TB,20.1,24,N
1,Ja'Marr Chase,WR,CIN,CLE,20.4,9.1,N
1,Christian McCaffrey,RB,SF,PIT,17.3,25.9,N
1,Austin Ekeler,RB,LAC,MIA,17.9,26.4,N
1,Tyreek Hill,WR,MIA,LAC,20.5,44.5,N
1,Bijan Robinson,RB,ATL,CAR,17.8,20.3,N
1,Davante Adams,WR,LV,DEN,19,12.6,N
1,Saquon Barkley,RB,NYG,DAL,16.9,9.3,N
1,Derrick Henry,RB,TEN,NO,17.1,13.9,N
1,Stefon Diggs,WR,BUF,NYJ,16,26.2,N
1,Patrick Mahomes,QB,KC,DET,24.7,19.54,N
1,Nick Chubb,RB,CLE,CIN,15.5,16.7,N
1,Tony Pollard,RB,DAL,NYG,17.5,22.2,N
1,CeeDee Lamb,WR,DAL,NYG,17.7,11.7,N
1,Garrett Wilson,WR,NYJ,BUF,16.4,14.4,N
1,Josh Jacobs,RB,LV,DEN,16.5,9.1,N
1,A.J. Brown,WR,PHI,NE,14.6,14.9,N
1,Josh Allen,QB,BUF,NYJ,21.1,9.04,N
1,Amon-Ra St. Brown,WR,DET,KC,16.7,19.1,N
1,Jalen Hurts,QB,PHI,NE,21.3,12.5,N
1,Joe Mixon,RB,CIN,CLE,14.8,10.3,N
1,DK Metcalf,WR,SEA,LAR,15.6,13.7,N
1,Jaylen Waddle,WR,MIA,LAC,15.3,11.8,N
1,Tee Higgins,WR,CIN,CLE,14.6,0,N
1,Travis Etienne Jr.,RB,JAX,IND,15.1,21.4,N
1,Chris Olave,WR,NO,TEN,14.4,19.2,N
1,Najee Harris,RB,PIT,SF,13.6,5.3,N
1,DeVonta Smith,WR,PHI,NE,14,17.7,N
1,Lamar Jackson,QB,BAL,HOU,22.5,6.56,N
1,Aaron Jones,RB,GB,CHI,15.5,26.7,Y
1,Jahmyr Gibbs,RB,DET,KC,14,8,N
1,Joe Burrow,QB,CIN,CLE,19.8,3.18,N
1,Deebo Samuel,WR,SF,PIT,14.2,11.3,N
1,Rhamondre Stevenson,RB,NE,PHI,15.1,14.9,N
1,Calvin Ridley,WR,JAX,IND,14.2,24.1,N
1,Keenan Allen,WR,LAC,MIA,14.1,14.2,N
1,Dameon Pierce,RB,HOU,BAL,13.6,6.7,N
1,Amari Cooper,WR,CLE,CIN,13.6,6.7,N
1,Justin Herbert,QB,LAC,MIA,16.9,20.86,N
1,T.J. Hockenson,TE,MIN,TB,12.5,11.5,N
1,Justin Fields,QB,CHI,GB,19.5,14.54,N
1,Darren Waller,TE,NYG,DAL,12.1,6.6,N
1,DeAndre Hopkins,WR,TEN,NO,13.5,13.5,N
1,George Kittle,TE,SF,PIT,10.5,4.9,N
1,Kenneth Walker III,RB,SEA,LAR,14.5,10.7,N
1,Rachaad White,RB,TB,MIN,13.9,6.9,N
1,Diontae Johnson,WR,PIT,SF,13.2,7.8,Y
1,Alexander Mattison,RB,MIN,TB,14.4,13.4,N
1,D.J. Moore,WR,CHI,GB,12.7,4.5,N
1,Chris Godwin,WR,TB,MIN,14.1,10.1,N
1,James Conner,RB,ARI,WAS,14.9,12,N
1,Kyle Pitts,TE,ATL,CAR,10.1,6.4,N
1,Miles Sanders,RB,CAR,ATL,14.2,11.8,N
1,Trevor Lawrence,QB,JAX,IND,18.5,17.74,N
1,James Cook,RB,BUF,NYJ,12.3,10.3,N
1,Mike Williams,WR,LAC,MIA,12.8,8.5,N
1,Mike Evans,WR,TB,MIN,13.8,18.6,N
1,Terry McLaurin,WR,WAS,ARI,13.1,5.1,N
1,Deshaun Watson,QB,CLE,CIN,18.5,20.66,N
1,Cam Akers,RB,LAR,SEA,13.5,8.9,N
1,Tyler Lockett,WR,SEA,LAR,13,3,Y
1,Javonte Williams,RB,DEN,LV,11.1,9.7,N
1,Isiah Pacheco,RB,KC,DET,11.5,9.4,N
1,Dalvin Cook,RB,NYJ,BUF,12,8.9,N
1,Brandon Aiyuk,WR,SF,PIT,10.6,32.9,N
1,David Montgomery,RB,DET,KC,12.3,13.4,N
1,Drake London,WR,ATL,CAR,12.4,0,N
1,George Pickens,WR,PIT,SF,10.8,8.6,N
1,J.K. Dobbins,RB,BAL,HOU,12.7,11.7,Y
1,Marquise Brown,WR,ARI,WAS,12.6,8.7,N
1,Christian Kirk,WR,JAX,IND,12.3,1.9,N
1,Kirk Cousins,QB,MIN,TB,17.4,16.46,N
1,D'Andre Swift,RB,PHI,NE,11.5,1.3,N
1,Michael Pittman Jr.,WR,IND,JAX,12,23.7,N
1,Brandin Cooks,WR,DAL,NYG,11.9,4.2,N
1,Dak Prescott,QB,DAL,NYG,18.4,6.32,N
1,David Njoku,TE,CLE,CIN,10,4.4,N
1,Khalil Herbert,RB,CHI,GB,11.4,11.4,N
1,Courtland Sutton,WR,DEN,LV,13.1,13.2,N
1,Aaron Rodgers,QB,NYJ,BUF,15.8,0,Y
1,Jahan Dotson,WR,WAS,ARI,11.2,9,N
1,A.J. Dillon,RB,GB,CHI,11.2,5.6,N
1,Skyy Moore,WR,KC,DET,11.7,0.4,N
1,Brian Robinson Jr.,RB,WAS,ARI,11.3,13.6,N
1,Geno Smith,QB,SEA,LAR,19.2,9.08,N
1,Russell Wilson,QB,DEN,LV,18.6,15.18,N
1,Tua Tagovailoa,QB,MIA,LAC,17.6,27.14,N
1,Daniel Jones,QB,NYG,DAL,17.5,4.46,N
1,Anthony Richardson,QB,IND,JAX,17.2,20.92,Y
1,Sam Howell,QB,WAS,ARI,16.6,15.18,N
1,Matthew Stafford,QB,LAR,SEA,16.2,14.46,N
1,Jared Goff,QB,DET,KC,15.8,14.02,N
1,Jimmy Garoppolo,QB,LV,DEN,15.4,15.1,N
1,Jordan Love,QB,GB,CHI,14.8,23,N
1,Derek Carr,QB,NO,TEN,14.8,14.6,N
1,Mac Jones,QB,NE,PHI,14.7,24.14,N
1,Baker Mayfield,QB,TB,MIN,14.7,16.02,N
1,Ryan Tannehill,QB,TEN,NO,14.5,2.42,N
1,Kenny Pickett,QB,PIT,SF,14.4,9.68,N
1,Bryce Young,QB,CAR,ATL,14.1,7.54,N
1,Brock Purdy,QB,SF,PIT,13.8,16.8,N
1,C.J. Stroud,QB,HOU,BAL,12.9,10.68,N
1,Desmond Ridder,QB,ATL,CAR,12.8,8.9,N
1,Joshua Dobbs,QB,ARI,WAS,12.2,0.98,N
1,Jamaal Williams,RB,NO,TEN,14.5,7.2,N
1,Raheem Mostert,RB,MIA,LAC,12.8,13,N
1,Samaje Perine,RB,DEN,LV,11.5,11.8,N
1,Jerick McKinnon,RB,KC,DET,11.2,2,N
1,Antonio Gibson,RB,WAS,ARI,10.7,0.9,N
1,Deon Jackson,RB,IND,JAX,10.4,3.8,N
1,Michael Thomas,WR,NO,TEN,12.2,11.1,N
1,Jakobi Meyers,WR,LV,DEN,10.9,29.1,Y
1,Van Jefferson,WR,LAR,SEA,10.8,6.4,N
1,JuJu Smith-Schuster,WR,NE,PHI,10.8,7.3,N
1,Odell Beckham Jr.,WR,BAL,HOU,10.8,5.7,N
1,Kadarius Toney,WR,KC,DET,10.5,1,N
1,Nico Collins,WR,HOU,BAL,10.1,14,N
1,Gabe Davis,WR,BUF,NYJ,10.1,5.2,N
1,Kendrick Bourne,WR,NE,PHI,10,24.4,N
1,Tyler Higbee,TE,LAR,SEA,11.8,7.9,N
2,Justin Jefferson,WR,MIN,PHI,22.1,24.9,N
2,Ja'Marr Chase,WR,CIN,BAL,20.2,8.1,N
2,Christian McCaffrey,RB,SF,LAR,22.3,22.5,N
2,Travis Kelce,TE,KC,JAX,16.8,12.6,N
2,Tyreek Hill,WR,MIA,NE,22,15,N
2,Bijan Robinson,RB,ATL,GB,16.4,21.2,N
2,Davante Adams,WR,LV,BUF,19.2,20.4,N
2,Saquon Barkley,RB,NYG,ARI,18.6,27.2,Y
2,Derrick Henry,RB,TEN,LAC,17.8,18.5,N
2,Stefon Diggs,WR,BUF,LV,17.9,13.6,N
2,Patrick Mahomes,QB,KC,JAX,23.3,21.2,N
2,Nick Chubb,RB,CLE,PIT,15.8,6.4,Y
2,Tony Pollard,RB,DAL,NYJ,17.4,19.9,N
2,CeeDee Lamb,WR,DAL,NYJ,16.1,25.3,N
2,Garrett Wilson,WR,NYJ,DAL,14,16.3,N
2,Josh Jacobs,RB,LV,BUF,15.7,9.9,N
2,A.J. Brown,WR,PHI,MIN,15.1,6.9,N
2,Josh Allen,QB,BUF,LV,24.4,23.66,N
2,Amon-Ra St. Brown,WR,DET,SEA,16.6,14.2,N
2,Jalen Hurts,QB,PHI,MIN,24.7,25.22,N
2,Joe Mixon,RB,CIN,BAL,16,13.5,N
2,DK Metcalf,WR,SEA,DET,15.4,13.5,N
2,Jaylen Waddle,WR,MIA,NE,14.5,12.4,N
2,Tee Higgins,WR,CIN,BAL,14.7,28.9,N
2,Travis Etienne Jr.,RB,JAX,KC,16.2,6.2,N
2,Chris Olave,WR,NO,CAR,14.5,14.6,N
2,Najee Harris,RB,PIT,CLE,13.2,5.3,N
2,DeVonta Smith,WR,PHI,MIN,15,23.1,N
2,Lamar Jackson,QB,BAL,CIN,20.6,22.88,N
2,Jahmyr Gibbs,RB,DET,SEA,13.2,12.6,N
2,Joe Burrow,QB,CIN,BAL,20.7,15.38,N
2,Deebo Samuel,WR,SF,LAR,14.3,22.1,N
2,Mark Andrews,TE,BAL,CIN,12.4,15.5,N
2,Rhamondre Stevenson,RB,NE,MIA,14.7,15,N
2,Calvin Ridley,WR,JAX,KC,16.8,5.2,N
2,Keenan Allen,WR,LAC,TEN,15.2,31.1,N
2,Dameon Pierce,RB,HOU,IND,13.3,5.5,N
2,Justin Herbert,QB,LAC,TEN,19,22.2,N
2,T.J. Hockenson,TE,MIN,PHI,13.5,25.6,N
2,Justin Fields,QB,CHI,TB,19,14.74,N
2,Darren Waller,TE,NYG,ARI,11.1,13.6,N
2,DeAndre Hopkins,WR,TEN,LAC,12.9,8,N
2,Breece Hall,RB,NYJ,DAL,10.5,0.9,N
2,George Kittle,TE,SF,LAR,11.4,6,N
2,Kenneth Walker III,RB,SEA,DET,15,18.4,N
2,Rachaad White,RB,TB,CHI,15.1,21.3,N
2,Alexander Mattison,RB,MIN,PHI,13.6,4.9,N
2,D.J. Moore,WR,CHI,TB,12.2,16.4,N
2,Chris Godwin,WR,TB,CHI,13.8,10.8,N
2,James Conner,RB,ARI,NYG,15.1,16.6,N
2,Miles Sanders,RB,CAR,NO,13.7,7.7,N
2,Trevor Lawrence,QB,JAX,KC,18.4,9.24,N
2,James Cook,RB,BUF,LV,14.9,19.9,N
2,Dallas Goedert,TE,PHI,MIN,10.4,8.2,N
2,Mike Williams,WR,LAC,TEN,12.6,16.6,N
2,Mike Evans,WR,TB,CHI,13.6,29.1,N
2,Terry McLaurin,WR,WAS,DEN,13,16.4,N
2,Deshaun Watson,QB,CLE,PIT,17,11.6,N
2,Tyler Lockett,WR,SEA,DET,13,25.9,N
2,Javonte Williams,RB,DEN,WAS,14.8,7.8,N
2,Isiah Pacheco,RB,KC,JAX,12.6,8,N
2,Dalvin Cook,RB,NYJ,DAL,10.4,0.2,N
2,Brandon Aiyuk,WR,SF,LAR,13.9,7.3,N
2,Jerry Jeudy,WR,DEN,WAS,11.7,5.5,N
2,David Montgomery,RB,DET,SEA,13.6,12.4,Y
